trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.8167734469008229, 'e': 0.8167734469008229}",25,0,-138.07053893875064,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
125,False,"{'a': 0.8138784566625339, 'e': 0.8138784566625339}",20,0,-87.35887230279872,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.8109631195052179, 'e': 0.8109631195052179}",25,2,-56.01399030984431,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.8080275083121519, 'e': 0.8080275083121519}",25,1,-134.80533333316248,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 2}",1
128,False,"{'a': 0.8050716964734628, 'e': 0.8050716964734628}",20,0,-73.02358226023526,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
129,False,"{'a': 0.8020957578842927, 'e': 0.8020957578842927}",30,0,-39.253978444003664,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
130,False,"{'a': 0.7990997669429512, 'e': 0.7990997669429512}",20,4,-32.18304503286068,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
131,False,"{'a': 0.7960837985490559, 'e': 0.7960837985490559}",20,0,-58.974511710734554,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
132,False,"{'a': 0.7930479281016595, 'e': 0.7930479281016595}",20,7,-57.082441461136675,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.7899922314973651, 'e': 0.7899922314973651}",20,0,-89.18595847326887,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
134,False,"{'a': 0.7869167851284287, 'e': 0.7869167851284287}",25,6,-37.0286384122874,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.7838216658808492, 'e': 0.7838216658808492}",20,0,-122.07968526215946,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
136,False,"{'a': 0.7807069511324468, 'e': 0.7807069511324468}",20,10,-51.60789349787683,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
137,False,"{'a': 0.7775727187509279, 'e': 0.7775727187509279}",20,0,-121.52038350261128,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.7744190470919388, 'e': 0.7744190470919388}",25,16,-18.66755663585725,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.7712460149971065, 'e': 0.7712460149971065}",20,0,-112.93008599781508,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.7680537017920686, 'e': 0.7680537017920686}",25,0,-63.93736260461401,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
141,False,"{'a': 0.7648421872844884, 'e': 0.7648421872844884}",20,0,-83.82852490571739,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
142,False,"{'a': 0.7616115517620617, 'e': 0.7616115517620617}",25,0,-105.58207044815887,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.7583618759905082, 'e': 0.7583618759905082}",20,0,-23.070497482926015,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
144,False,"{'a': 0.7550932412115529, 'e': 0.7550932412115529}",25,8,-61.85405868646966,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
145,False,"{'a': 0.751805729140895, 'e': 0.751805729140895}",25,0,-114.36559420322324,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
146,False,"{'a': 0.7484994219661651, 'e': 0.7484994219661651}",20,5,-96.29665263138203,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 1}",1
147,False,"{'a': 0.7451744023448704, 'e': 0.7451744023448704}",20,0,-82.28490422895231,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
148,False,"{'a': 0.7418307534023283, 'e': 0.7418307534023283}",20,12,3.7793648882911617,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.7384685587295879, 'e': 0.7384685587295879}",30,4,-55.560505670771924,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 0}",1
150,False,"{'a': 0.7350879023813413, 'e': 0.7350879023813413}",20,0,-80.1023823844418,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.7316888688738209, 'e': 0.7316888688738209}",20,0,-92.692166594903,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
152,False,"{'a': 0.7282715431826874, 'e': 0.7282715431826874}",20,0,-86.2939659269385,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
153,False,"{'a': 0.7248360107409052, 'e': 0.7248360107409052}",20,0,-27.117715626504115,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.7213823574366063, 'e': 0.7213823574366063}",35,23,6.032150369302378,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.7179106696109434, 'e': 0.7179106696109434}",30,12,-12.74325007468266,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.7144210340559314, 'e': 0.7144210340559314}",20,0,-72.30889383778542,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.7109135380122773, 'e': 0.7109135380122773}",20,2,-76.74188356943895,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
158,False,"{'a': 0.7073882691671998, 'e': 0.7073882691671998}",35,0,-68.06571333818863,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.7038453156522362, 'e': 0.7038453156522362}",30,7,-56.693076419843905,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 0}",1
160,False,"{'a': 0.7002847660410397, 'e': 0.7002847660410397}",20,8,6.038177677002059,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.6967067093471655, 'e': 0.6967067093471655}",25,0,-82.78304771829778,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
162,False,"{'a': 0.6931112350218442, 'e': 0.6931112350218442}",25,0,-79.3520663293021,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
163,False,"{'a': 0.6894984329517471, 'e': 0.6894984329517471}",20,0,-11.774655019527795,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.6858683934567373, 'e': 0.6858683934567373}",20,0,-36.366949564607935,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
165,False,"{'a': 0.6822212072876136, 'e': 0.6822212072876136}",25,0,-63.31413626497442,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.6785569656238399, 'e': 0.6785569656238399}",25,7,-48.8951698423125,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.6748757600712672, 'e': 0.6748757600712672}",30,0,-222.9870350645905,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
168,False,"{'a': 0.6711776826598423, 'e': 0.6711776826598423}",20,0,-20.177787552935936,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
169,False,"{'a': 0.6674628258413082, 'e': 0.6674628258413082}",35,0,11.443610179831198,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.6637312824868916, 'e': 0.6637312824868916}",25,0,-58.126017087818916,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",1
171,False,"{'a': 0.6599831458849822, 'e': 0.6599831458849822}",30,15,-2.9708568657075753,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.6562185097387998, 'e': 0.6562185097387998}",30,3,-135.62095340959866,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 3}",1
